neela,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8
matt henry,0.0,50.0,50.0,104.0,104.0,104.0,104.0,115.0
kusal perera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashid khan,0.0,39.0,39.0,39.0,152.0,152.0,152.0,152.0
sikandar raza,0.0,0.0,83.0,83.0,83.0,83.0,143.0,143.0
sherfane rutherford,94.0,94.0,94.0,94.0,306.0,306.0,306.0,306.0
travis head,0.0,0.0,0.0,0.0,7.0,7.0,31.0,31.0
quinton de kock,0.0,0.0,68.0,68.0,207.0,207.0,207.0,260.0
rovman powell,81.0,81.0,81.0,81.0,129.0,129.0,129.0,129.0
jofra archer,0.0,13.0,13.0,13.0,32.0,32.0,32.0,118.0
daryl mitchell,0.0,56.0,56.0,71.0,71.0,71.0,71.0,159.0
salman mirza,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
