ntkesh,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8
phil salt,0.0,16.0,16.0,16.0,108.0,108.0,108.0,125.0
jamie overton,0.0,0.0,0.0,0.0,82.0,82.0,82.0,141.0
ibrahim zadran,0.0,10.0,10.0,10.0,45.0,45.0,45.0,45.0
salman agha,53.0,53.0,53.0,68.0,68.0,68.0,68.0,68.0
aiden markram,0.0,0.0,141.0,141.0,152.0,152.0,152.0,376.0
noor ahmad,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0
hardik pandya,9.0,9.0,9.0,9.0,9.0,233.0,233.0,233.0
lockie ferguson,0.0,63.0,63.0,90.0,90.0,90.0,90.0,107.0
varun chakravarthy,50.0,50.0,50.0,50.0,50.0,169.0,169.0,169.0
brandon king,57.0,57.0,57.0,57.0,72.0,72.0,72.0,72.0
sediqullah atal,0.0,46.0,46.0,46.0,40.0,40.0,40.0,40.0
